# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.54526       	DILUPBiCGStab	3.753370e-06	1.430580e-10	1	1.995000e-05	5.720190e-10	1	false	GAMG	1.147390e-07	1.459330e-09	1	true
1.54526       	DILUPBiCGStab	3.751150e-06	1.424900e-10	1	1.994730e-05	5.739050e-10	1	false	GAMG	1.140870e-07	1.437080e-09	1	true
1.54527       	DILUPBiCGStab	3.748410e-06	1.418360e-10	1	1.994070e-05	5.738840e-10	1	false	GAMG	1.117450e-07	1.447350e-09	1	true
1.54527       	DILUPBiCGStab	3.747120e-06	1.413340e-10	1	1.993980e-05	5.738350e-10	1	false	GAMG	1.093060e-07	1.413740e-09	1	true
1.54528       	DILUPBiCGStab	3.746870e-06	1.409830e-10	1	1.994270e-05	5.751880e-10	1	false	GAMG	1.046310e-07	1.379200e-09	1	true
1.54528       	DILUPBiCGStab	3.747130e-06	1.406990e-10	1	1.994590e-05	5.762130e-10	1	false	GAMG	1.042260e-07	1.370460e-09	1	true
1.54528       	DILUPBiCGStab	3.747270e-06	1.404630e-10	1	1.994990e-05	5.775370e-10	1	false	GAMG	1.037500e-07	1.372500e-09	1	true
1.54529       	DILUPBiCGStab	3.747410e-06	1.402050e-10	1	1.995450e-05	5.784160e-10	1	false	GAMG	1.056330e-07	1.378400e-09	1	true
1.54529       	DILUPBiCGStab	3.747760e-06	1.399570e-10	1	1.995970e-05	5.796160e-10	1	false	GAMG	1.011970e-07	1.396180e-09	1	true
1.54529       	DILUPBiCGStab	3.748340e-06	1.397560e-10	1	1.996300e-05	5.813920e-10	1	false	GAMG	1.030940e-07	1.389960e-09	1	true
1.5453        	DILUPBiCGStab	3.749680e-06	1.396290e-10	1	1.996740e-05	5.828100e-10	1	false	GAMG	1.068590e-07	1.419180e-09	1	true
1.5453        	DILUPBiCGStab	3.752050e-06	1.395960e-10	1	1.997060e-05	5.837870e-10	1	false	GAMG	1.121480e-07	1.465060e-09	1	true
1.5453        	DILUPBiCGStab	3.753040e-06	1.395090e-10	1	1.996930e-05	5.856130e-10	1	false	GAMG	1.113490e-07	1.377990e-09	1	true
1.54531       	DILUPBiCGStab	3.750910e-06	1.390790e-10	1	1.996920e-05	5.896140e-10	1	false	GAMG	1.113550e-07	1.367790e-09	1	true
1.54531       	DILUPBiCGStab	3.749580e-06	1.386460e-10	1	1.996880e-05	5.915970e-10	1	false	GAMG	1.074230e-07	1.378370e-09	1	true
1.54532       	DILUPBiCGStab	3.749040e-06	1.383610e-10	1	1.996830e-05	5.927800e-10	1	false	GAMG	1.058540e-07	1.346900e-09	1	true
1.54532       	DILUPBiCGStab	3.748770e-06	1.380530e-10	1	1.996700e-05	5.941380e-10	1	false	GAMG	1.055170e-07	1.309410e-09	1	true
1.54532       	DILUPBiCGStab	3.748720e-06	1.378290e-10	1	1.996660e-05	5.965780e-10	1	false	GAMG	1.062640e-07	1.316350e-09	1	true
1.54533       	DILUPBiCGStab	3.751750e-06	1.380310e-10	1	1.998310e-05	6.001010e-10	1	false	GAMG	1.070850e-07	1.326230e-09	1	true
1.54533       	DILUPBiCGStab	3.751540e-06	1.378480e-10	1	1.998210e-05	6.017790e-10	1	false	GAMG	1.046230e-07	1.332350e-09	1	true
1.54533       	DILUPBiCGStab	3.751900e-06	1.377280e-10	1	1.998290e-05	6.033830e-10	1	false	GAMG	1.019560e-07	1.337050e-09	1	true
1.54534       	DILUPBiCGStab	3.753030e-06	1.376720e-10	1	1.998460e-05	6.050070e-10	1	false	GAMG	1.031760e-07	1.328480e-09	1	true
1.54534       	DILUPBiCGStab	3.755030e-06	1.377720e-10	1	1.998920e-05	6.072940e-10	1	false	GAMG	1.042170e-07	1.366930e-09	1	true
1.54535       	DILUPBiCGStab	3.757390e-06	1.377830e-10	1	1.999350e-05	6.077790e-10	1	false	GAMG	1.098640e-07	1.356130e-09	1	true
1.54535       	DILUPBiCGStab	3.758240e-06	1.376730e-10	1	1.999350e-05	6.078500e-10	1	false	GAMG	1.137750e-07	1.362820e-09	1	true
1.54535       	DILUPBiCGStab	3.755680e-06	1.373000e-10	1	1.999030e-05	6.094200e-10	1	false	GAMG	1.084610e-07	1.370500e-09	1	true
1.54536       	DILUPBiCGStab	3.753640e-06	1.369550e-10	1	1.999080e-05	6.100800e-10	1	false	GAMG	1.113580e-07	1.374790e-09	1	true
1.54536       	DILUPBiCGStab	3.752850e-06	1.366590e-10	1	1.999300e-05	6.112980e-10	1	false	GAMG	1.047070e-07	1.397690e-09	1	true
1.54536       	DILUPBiCGStab	3.752960e-06	1.365370e-10	1	1.999720e-05	6.114930e-10	1	false	GAMG	9.972990e-08	1.374850e-09	1	true
1.54537       	DILUPBiCGStab	3.752680e-06	1.363750e-10	1	1.999870e-05	6.121500e-10	1	false	GAMG	1.011740e-07	1.356190e-09	1	true
1.54537       	DILUPBiCGStab	3.752550e-06	1.362340e-10	1	2.000110e-05	6.131640e-10	1	false	GAMG	1.034100e-07	1.343300e-09	1	true
1.54537       	DILUPBiCGStab	3.752550e-06	1.360850e-10	1	2.000140e-05	6.135870e-10	1	false	GAMG	1.054280e-07	1.338050e-09	1	true
1.54538       	DILUPBiCGStab	3.752770e-06	1.359280e-10	1	2.000240e-05	6.141860e-10	1	false	GAMG	1.039300e-07	1.346090e-09	1	true
1.54538       	DILUPBiCGStab	3.753340e-06	1.358660e-10	1	2.000320e-05	6.159910e-10	1	false	GAMG	1.002660e-07	1.356990e-09	1	true
1.54539       	DILUPBiCGStab	3.753840e-06	1.357780e-10	1	2.000220e-05	6.188100e-10	1	false	GAMG	1.016340e-07	1.366050e-09	1	true
1.54539       	DILUPBiCGStab	3.754620e-06	1.356700e-10	1	2.000160e-05	6.199240e-10	1	false	GAMG	1.027690e-07	1.414940e-09	1	true
1.54539       	DILUPBiCGStab	3.756540e-06	1.356640e-10	1	2.000090e-05	6.203030e-10	1	false	GAMG	1.095690e-07	1.439460e-09	1	true
1.5454        	DILUPBiCGStab	3.756600e-06	1.356960e-10	1	1.999770e-05	6.219490e-10	1	false	GAMG	1.135580e-07	1.369110e-09	1	true
1.5454        	DILUPBiCGStab	3.754310e-06	1.354110e-10	1	1.999540e-05	6.251340e-10	1	false	GAMG	1.077570e-07	1.347320e-09	1	true
1.5454        	DILUPBiCGStab	3.752870e-06	1.351310e-10	1	1.999410e-05	6.250460e-10	1	false	GAMG	1.026740e-07	1.369550e-09	1	true
1.54541       	DILUPBiCGStab	3.752090e-06	1.348710e-10	1	1.999360e-05	6.256210e-10	1	false	GAMG	1.204970e-07	1.339540e-09	1	true
1.54541       	DILUPBiCGStab	3.751700e-06	1.346850e-10	1	1.999200e-05	6.259180e-10	1	false	GAMG	1.018960e-07	1.324190e-09	1	true
1.54542       	DILUPBiCGStab	3.751180e-06	1.345080e-10	1	1.999200e-05	6.276890e-10	1	false	GAMG	1.002940e-07	1.315210e-09	1	true
1.54542       	DILUPBiCGStab	3.751140e-06	1.344340e-10	1	1.999320e-05	6.282960e-10	1	false	GAMG	1.031510e-07	1.307340e-09	1	true
1.54542       	DILUPBiCGStab	3.751510e-06	1.343710e-10	1	1.999650e-05	6.299430e-10	1	false	GAMG	1.020620e-07	1.313180e-09	1	true
1.54543       	DILUPBiCGStab	3.752180e-06	1.343820e-10	1	2.000090e-05	6.301670e-10	1	false	GAMG	1.014520e-07	1.311130e-09	1	true
1.54543       	DILUPBiCGStab	3.753070e-06	1.343770e-10	1	2.000500e-05	6.308800e-10	1	false	GAMG	1.000020e-07	1.312510e-09	1	true
1.54543       	DILUPBiCGStab	3.754800e-06	1.344390e-10	1	2.001240e-05	6.308770e-10	1	false	GAMG	1.006980e-07	1.336460e-09	1	true
1.54544       	DILUPBiCGStab	3.757800e-06	1.346020e-10	1	2.002250e-05	6.311210e-10	1	false	GAMG	1.076580e-07	1.385100e-09	1	true
1.54544       	DILUPBiCGStab	3.760480e-06	1.348380e-10	1	2.002680e-05	6.296180e-10	1	false	GAMG	1.119790e-07	1.359200e-09	1	true
1.54544       	DILUPBiCGStab	3.758860e-06	1.347200e-10	1	2.002440e-05	6.300370e-10	1	false	GAMG	1.132050e-07	1.315820e-09	1	true
1.54545       	DILUPBiCGStab	3.755970e-06	1.343940e-10	1	2.002150e-05	6.295140e-10	1	false	GAMG	1.034150e-07	1.349250e-09	1	true
1.54545       	DILUPBiCGStab	3.754490e-06	1.341490e-10	1	2.002080e-05	6.286040e-10	1	false	GAMG	9.712200e-08	1.353660e-09	1	true
1.54546       	DILUPBiCGStab	3.754070e-06	1.339800e-10	1	2.002090e-05	6.281520e-10	1	false	GAMG	1.006800e-07	1.334990e-09	1	true
1.54546       	DILUPBiCGStab	3.753610e-06	1.338410e-10	1	2.001960e-05	6.287450e-10	1	false	GAMG	1.025060e-07	1.287700e-09	1	true
1.54546       	DILUPBiCGStab	3.753430e-06	1.337350e-10	1	2.001800e-05	6.288710e-10	1	false	GAMG	1.020230e-07	1.268920e-09	1	true
1.54547       	DILUPBiCGStab	3.753010e-06	1.336490e-10	1	2.001580e-05	6.294260e-10	1	false	GAMG	1.042260e-07	1.263900e-09	1	true
1.54547       	DILUPBiCGStab	3.752780e-06	1.335390e-10	1	2.001410e-05	6.295770e-10	1	false	GAMG	9.871090e-08	1.263220e-09	1	true
1.54547       	DILUPBiCGStab	3.753050e-06	1.335080e-10	1	2.001230e-05	6.304060e-10	1	false	GAMG	9.909150e-08	1.261890e-09	1	true
1.54548       	DILUPBiCGStab	3.753240e-06	1.334750e-10	1	2.001050e-05	6.301420e-10	1	false	GAMG	9.830150e-08	1.274020e-09	1	true
1.54548       	DILUPBiCGStab	3.753670e-06	1.334700e-10	1	2.000940e-05	6.302560e-10	1	false	GAMG	1.024090e-07	1.291150e-09	1	true
1.54549       	DILUPBiCGStab	3.755210e-06	1.335570e-10	1	2.000930e-05	6.293890e-10	1	false	GAMG	1.098640e-07	1.294380e-09	1	true
1.54549       	DILUPBiCGStab	3.755550e-06	1.336960e-10	1	2.000690e-05	6.301560e-10	1	false	GAMG	1.072000e-07	1.252660e-09	1	true
1.54549       	DILUPBiCGStab	3.753910e-06	1.336350e-10	1	2.000750e-05	6.315330e-10	1	false	GAMG	9.330440e-08	1.262760e-09	1	true
1.5455        	DILUPBiCGStab	3.752830e-06	1.335660e-10	1	2.000930e-05	6.312780e-10	1	false	GAMG	9.611360e-08	1.280990e-09	1	true
1.5455        	DILUPBiCGStab	3.752560e-06	1.334930e-10	1	2.001280e-05	6.314250e-10	1	false	GAMG	9.395040e-08	1.283680e-09	1	true
1.5455        	DILUPBiCGStab	3.752550e-06	1.335180e-10	1	2.001550e-05	6.312610e-10	1	false	GAMG	9.576030e-08	1.271670e-09	1	true
1.54551       	DILUPBiCGStab	3.752770e-06	1.335460e-10	1	2.001890e-05	6.313750e-10	1	false	GAMG	9.600090e-08	1.259720e-09	1	true
1.54551       	DILUPBiCGStab	3.753060e-06	1.336760e-10	1	2.002320e-05	6.316580e-10	1	false	GAMG	9.924680e-08	1.253600e-09	1	true
1.54551       	DILUPBiCGStab	3.753290e-06	1.337040e-10	1	2.002690e-05	6.327110e-10	1	false	GAMG	9.424680e-08	1.249800e-09	1	true
1.54552       	DILUPBiCGStab	3.753620e-06	1.338290e-10	1	2.003000e-05	6.314930e-10	1	false	GAMG	9.493260e-08	1.238750e-09	1	true
1.54552       	DILUPBiCGStab	3.754390e-06	1.339000e-10	1	2.003170e-05	6.317260e-10	1	false	GAMG	9.384870e-08	1.234100e-09	1	true
1.54553       	DILUPBiCGStab	3.755070e-06	1.338770e-10	1	2.003390e-05	6.316660e-10	1	false	GAMG	9.654760e-08	1.222550e-09	1	true
1.54553       	DILUPBiCGStab	3.756170e-06	1.339740e-10	1	2.003590e-05	6.314390e-10	1	false	GAMG	1.049440e-07	1.210610e-09	1	true
1.54553       	DILUPBiCGStab	3.761110e-06	1.344230e-10	1	2.005400e-05	6.325720e-10	1	false	GAMG	1.111560e-07	1.240950e-09	1	true
1.54554       	DILUPBiCGStab	3.760690e-06	1.346000e-10	1	2.005400e-05	6.339130e-10	1	false	GAMG	1.062280e-07	1.245460e-09	1	true
1.54554       	DILUPBiCGStab	3.760180e-06	1.346200e-10	1	2.005560e-05	6.351390e-10	1	false	GAMG	9.731770e-08	1.274740e-09	1	true
1.54554       	DILUPBiCGStab	3.760860e-06	1.348160e-10	1	2.005950e-05	6.350830e-10	1	false	GAMG	9.538970e-08	1.275410e-09	1	true
1.54555       	DILUPBiCGStab	3.761050e-06	1.348480e-10	1	2.005700e-05	6.340640e-10	1	false	GAMG	9.761380e-08	1.244780e-09	1	true
