# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.54942       	p_rgh         	1.759119e+03	(2.479890e-02 1.453329e-02 1.100000e-02)	1	7.083972e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54942       	omega         	1.320251e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.5498        	U             	(-9.171074e-01 -1.413618e-01 -3.625961e-27)	(1.455004e-02 1.493659e-02 1.100000e-02)	0	(1.106053e+01 3.027979e+00 5.288770e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.5498        	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273282e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.5498        	p_rgh         	1.755574e+03	(2.587840e-02 1.459163e-02 1.100000e-02)	1	7.082313e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.5498        	omega         	1.322489e+02	(1.107825e+00 -3.776057e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55017       	U             	(-1.455929e+00 -1.409329e-02 -3.173721e-28)	(1.271354e-02 1.583753e-02 1.100000e-02)	0	(1.195246e+01 6.377680e-01 2.680914e-27)	(8.957020e-03 1.838875e-02 1.100000e-02)	0
1.55017       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273306e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55017       	p_rgh         	1.749845e+03	(2.586681e-02 1.428335e-02 1.100000e-02)	1	7.080112e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55017       	omega         	1.324482e+02	(1.107825e+00 -3.776057e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55055       	U             	(-1.974443e+00 -1.156350e+00 -4.273796e-26)	(3.960999e-03 1.656617e-02 1.100000e-02)	2	(1.108130e+01 1.192768e+00 8.759922e-28)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.55055       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273322e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55055       	p_rgh         	1.738343e+03	(2.697073e-02 1.438694e-02 1.100000e-02)	1	7.077721e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55055       	omega         	1.325005e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55093       	U             	(-3.051175e+00 -5.707172e-03 -4.039283e-27)	(1.606454e-02 1.485103e-02 1.100000e-02)	0	(1.094701e+01 3.021925e+00 5.056402e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.55093       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.330202e+01	(1.839001e-02 1.637199e-02 1.100000e-02)	0
1.55093       	p_rgh         	1.732888e+03	(2.809955e-02 1.453587e-02 1.100000e-02)	1	7.075363e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55093       	omega         	1.325353e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55131       	U             	(-1.619007e+00 -5.932799e-01 -1.697901e-26)	(3.958564e-03 1.650583e-02 1.100000e-02)	2	(1.095378e+01 3.013557e+00 5.234519e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.55131       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273341e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55131       	p_rgh         	1.724292e+03	(2.837444e-02 1.427861e-02 1.100000e-02)	1	7.073476e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55131       	omega         	1.325747e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55169       	U             	(-1.788423e+00 -1.525574e+00 -4.577442e-26)	(3.958564e-03 1.650583e-02 1.100000e-02)	2	(1.100919e+01 3.010567e+00 5.410823e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.55169       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.325850e+01	(2.457014e-02 1.551516e-02 1.100000e-02)	1
1.55169       	p_rgh         	1.716948e+03	(2.894525e-02 1.420701e-02 1.100000e-02)	1	7.071974e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55169       	omega         	1.326186e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55207       	U             	(-5.413864e+00 1.153620e-01 -3.971819e-27)	(2.978709e-02 1.340801e-02 1.100000e-02)	1	(1.111699e+01 1.062316e+00 1.250737e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.55207       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.527111e+01	(2.700578e-02 1.532184e-02 1.100000e-02)	1
